    75.00  23.00   5.91 167.80   3.98  26.11   0.00   187   550  -0.70
   105.00  23.00   6.81 187.00   3.98  26.12   0.00   187   550  -0.84
   135.00  23.00   7.33 202.06   3.98  26.11   0.00   238   549  -0.06
   165.00  23.00   7.14 238.00   3.98  26.09   0.00   238   549  -0.27
   195.00  23.01   5.38 228.00   3.98  26.10   0.00   228   549  -0.43
   225.00  23.46   4.88  33.47   4.00  26.26   0.00    36   549  -0.58
   255.00  24.16   4.40  36.00   4.04  26.52   0.00    36   549  -0.70
   285.00  24.77   5.39  31.15   4.07  26.68   0.00    41   549  -0.81
   315.00  23.74   7.08  53.79   4.05  26.58   0.00    73   549  -0.92
    15.00  23.03   5.58 179.73   4.00  26.25   0.00   225   549  -0.97
    45.00  23.00   4.71  94.10   3.97  26.09   0.00   100   549  -0.99
    75.00  23.00   5.91 137.74   3.97  26.08   0.00   182   548  -0.06
   105.00  23.00   6.81 182.00   3.98  26.11   0.00   182   548  -0.21
   135.00  23.00   7.33 182.00   3.98  26.12   0.00   182   548  -0.42
   165.00  23.00   7.14 182.00   3.98  26.12   0.00   182   548  -0.63
   195.00  23.02   5.38 137.00   3.98  26.12   0.00   137   548  -0.79
   225.00  23.46   4.89  33.54   4.00  26.31   0.00    36   548  -0.94
   255.00  24.16   4.40  36.00   4.05  26.58   0.00    36   547  -0.06
   285.00  24.77   5.39  31.17   4.07  26.74   0.00    41   547  -0.17
   315.00  23.74   7.08  53.87   4.04  26.60   0.00    73   547  -0.28
    15.00  23.03   5.58 151.96   3.99  26.22   0.00   182   547  -0.33
    45.00  23.00   4.71  96.09   3.95  25.97   0.00   101   547  -0.35
    75.00  23.00   5.91 151.52   3.94  25.95   0.00   182   547  -0.42
   105.00  23.00   6.81 182.00   3.95  25.99   0.00   182   547  -0.57
   135.00  23.00   7.33 210.61   3.95  26.01   0.00   237   547  -0.78
   165.00  23.00   7.14 237.00   3.96  26.03   0.00   237   547  -0.99
   195.00  23.02   5.38 234.00   3.96  26.02   0.00   234   546  -0.15
   225.00  23.46   4.89  33.52   3.98  26.15   0.00    36   546  -0.30
   255.00  24.16   4.40  36.00   4.01  26.37   0.00    36   546  -0.42
   285.00  24.77   5.39  31.16   4.03  26.52   0.00    41   546  -0.53
   315.00  23.74   7.08  53.84   4.01  26.41   0.00    73   546  -0.64
    15.00  23.03   5.58 186.83   3.97  26.07   0.00   235   546  -0.69
    45.00  23.00   4.71 110.90   3.94  25.80   0.00   231   546  -0.71
    75.00  23.00   5.91 234.00   3.93  25.80   0.00   299   546  -0.78
   105.00  23.00   6.81 234.00   3.94  25.84   0.00   234   546  -0.93
   135.00  23.00   7.33 277.43   3.94  25.84   0.00   302   545  -0.14
   165.00  23.00   7.14 302.00   3.94  25.84   0.00   302   545  -0.35
   195.00  23.02   5.38 238.00   3.94  25.85   0.00   238   545  -0.51
   225.00  23.47   4.89  33.88   3.96  26.00   0.00    36   545  -0.66
   255.00  24.16   4.41  36.00   4.00  26.23   0.00    36   545  -0.78
   285.00  24.77   5.39  31.16   4.02  26.39   0.00    41   545  -0.89
   315.00  23.75   7.08  53.86   4.00  26.29   0.00    73   544  -0.00
    15.00  23.03   5.58 185.34   3.96  26.01   0.00   233   544  -0.05
    45.00  23.00   4.71 104.46   3.95  25.92   0.00   128   544  -0.07
    75.00  23.00   5.91 208.38   3.95  25.93   0.00   236   544  -0.14
   105.00  23.00   6.81 236.00   3.95  25.94   0.00   236   544  -0.28
   135.00  23.00   7.33 236.00   3.95  25.94   0.00   236   544  -0.50
   165.00  23.00   7.14 236.00   3.95  25.94   0.00   236   544  -0.71
   195.00  23.02   5.38 236.00   3.96  25.96   0.00   236   544  -0.87
   225.00  23.47   4.89  33.89   3.99  26.14   0.00    36   543  -0.02
